"BirdID","InsectAbundance"
1042,3699.546086205
1494,4490.927663841
1722,NA
1729,NA
1605,NA
1669,NA
1707,NA
1821,NA
1607,NA
1763,NA
1750,1073.733246256
1801,1073.733246256
1678,1073.733246256
2978,1073.733246256
1731,757.701528839
2966,757.701528839
1710,757.701528839
1869,757.701528839
1762,757.701528839
1698,757.701528839
2960,757.701528839
3453,757.701528839
1864,757.701528839
3694,757.701528839
2991,757.701528839
1852,757.701528839
1826,757.701528839
3089,757.701528839
2986,757.701528839
3094,757.7015
3451,757.7015
3456,757.7015
3462,757.7015
3518,757.7015
3567,757.7015
3595,757.7015
3087,757.7015
2990,757.7015
3490,826.155111578
4803,826.155111578
3643,826.155111578
5009,826.155111578
3497,826.155111578
3608,826.155111578
4860,826.155111578
3519,826.155111578
4885,578.85254053
4964,578.85254053
4883,578.85254053
3486,578.85254053
3085,578.85254053
5000,578.85254053
4999,578.85254053
3699,578.85254053
4965,578.85254053
4892,578.85254053
4896,578.85254053
1877,578.85254053
3606,578.85254053
4954,578.85254053
4939,578.85254053
2968,578.85254053
3594,578.85254053
1819,981.912924396
5249,981.912924396
4904,981.912924396
4890,981.912924396
4861,981.912924396
4947,981.912924396
5163,981.912924396
5290,981.912924396
5217,981.912924396
5267,981.912924396
5262,981.912924396
1824,981.912924396
4933,981.912924396
5285,981.912924396
4961,981.912924396
4957,981.912924396
4941,981.912924396
5072,981.912924396
5195,981.912924396
5235,1174.006612919
5319,1174.006612919
5333,1174.006612919
5292,1174.006612919
5525,1174.006612919
5237,1174.006612919
4887,1174.006612919
5532,1174.006612919
5323,1174.006612919
5275,1174.006612919
5447,1174.006612919
5519,1174.006612919
5321,1174.006612919
5508,1174.006612919
5197,1174.006612919
5539,1193.788676396
5520,1193.788676396
5575,1193.788676396
5538,1193.788676396
5514,1193.788676396
5533,1193.788676396
5313,1193.788676396
5513,1193.788676396
5521,1193.788676396
5516,1193.788676396
5326,1193.788676396
5541,1193.788676396
5510,1193.788676396
5530,1193.788676396
5559,1193.788676396
5612,1193.788676396
5582,1193.788676396
5584,1193.788676396
5527,1193.788676396
5337,1193.788676396
5626,1193.788676396
5283,1193.788676396
5537,1193.788676396
5523,1193.788676396
5605,1193.788676396
5562,1193.788676396
5607,1193.788676396
5573,1193.788676396
5497,1193.788676396
5613,1193.788676396
5511,1193.788676396
5334,1193.788676396
5291,1193.788676396
5542,1193.788676396
5338,1193.788676396
5604,1193.788676396
5608,1193.788676396
5683,1193.788676396
5456,1193.788676396
5453,1193.788676396
5621,1193.788676396
5522,1193.788676396
5498,1193.788676396
5549,1193.788676396
5642,1193.788676396
5518,1193.788676396
5450,1193.788676396
5545,1193.788676396
5462,1193.788676396
5585,2355.4151796
5779,2355.4151796
5339,2355.4151796
5606,2355.4151796
5597,2355.4151796
5685,2355.4151796
5776,2355.4151796
5774,2355.4151796
5765,2355.4151796
5586,2355.4151796
5561,2355.4151796
5590,2355.4151796
5828,2355.4151796
5837,2355.4151796
5588,2355.4151796
5638,2355.4151796
5639,2355.4151796
5529,2355.4151796
5634,2355.4151796
5847,2355.4151796
5648,2355.4151796
5534,2355.4151796
5536,2355.4151796
5653,2355.4151796
5625,2355.4151796
5658,2355.4151796
5678,2355.4151796
5682,2355.4151796
5787,697.770563724
5652,697.770563724
5832,697.770563724
5773,697.770563724
5782,697.770563724
5630,697.770563724
5624,697.770563724
5785,697.770563724
5771,697.770563724
6013,697.770563724
5784,697.770563724
5778,697.770563724
5830,697.770563724
5777,697.770563724
5636,697.770563724
5835,697.770563724
5842,697.770563724
5123,697.770563724
5849,697.770563724
5766,697.770563724
5826,697.770563724
5618,697.770563724
5844,697.770563724
5848,697.770563724
5902,697.770563724
5595,697.770563724
5827,697.770563724
5838,697.770563724
5831,697.770563724
5768,697.770563724
5686,697.770563724
5641,697.770563724
5824,697.770563724
5643,697.770563724
6014,697.770563724
5749,697.770563724
5775,697.770563724
5903,697.770563724
5657,697.770563724
6017,697.770563724
5904,697.770563724
5852,697.770563724
5823,697.770563724
5834,1136.736848003
5829,1136.736848003
5851,1136.736848003
5901,1136.736848003
5772,1136.736848003
6015,1136.736848003
5833,1136.736848003
5855,1136.736848003
5853,1136.736848003
5780,1136.736848003
5839,1136.736848003
5906,1136.736848003
6021,1136.736848003
6010,1136.736848003
5770,1136.736848003
5846,1136.736848003
6062,1136.736848003
5650,1136.736848003
6181,1136.736848003
5854,1136.736848003
6048,1136.736848003
5173,1136.736848003
5905,1136.736848003
6027,1136.736848003
6018,1136.736848003
6031,1136.736848003
5821,1136.736848003
5750,1136.736848003
6009,1136.736848003
6023,1136.736848003
5825,1136.736848003
5769,1136.736848003
1660,1136.736848003
5822,1136.736848003
6030,1136.736848003
6020,1136.736848003
6024,1136.736848003
5820,1136.736848003
6028,1136.736848003
6037,1136.736848003
6029,1136.736848003
6034,1136.736848003
6016,900.722937165
6067,900.722937165
6141,900.722937165
5841,900.722937165
5596,900.722937165
6026,900.722937165
6196,900.722937165
5843,900.722937165
6065,900.722937165
5908,900.722937165
5850,900.722937165
6153,900.722937165
6180,900.722937165
6312,900.722937165
6050,900.722937165
6033,900.722937165
6160,900.722937165
5748,900.722937165
6011,900.722937165
6047,900.722937165
6149,1167.56180546
6012,1167.56180546
6166,1167.56180546
6150,1167.56180546
6239,1167.56180546
5517,1167.56180546
6158,1167.56180546
5909,1167.56180546
6213,1167.56180546
6549,1167.56180546
6273,1167.56180546
6565,1167.56180546
6142,1167.56180546
6147,1167.56180546
6185,1167.56180546
6138,1167.56180546
6155,1167.56180546
6230,1167.56180546
6660,1167.56180546
6209,1167.56180546
6272,1167.56180546
6309,1167.56180546
6045,1167.56180546
6205,1167.56180546
6267,1167.56180546
6140,1167.56180546
6199,1167.56180546
6170,1167.56180546
6552,1167.56180546
6219,1167.56180546
6240,1167.56180546
6566,1167.56180546
6556,1167.56180546
6268,1167.56180546
6175,1167.56180546
6221,1167.56180546
6169,1167.56180546
6378,1042.513256323
6186,1042.513256323
6564,1042.513256323
6384,1042.513256323
6382,1042.513256323
6573,1042.513256323
6385,1042.513256323
6563,1042.513256323
6548,1042.513256323
6374,1042.513256323
6279,1042.513256323
6568,1042.513256323
6557,1042.513256323
6546,1042.513256323
6690,1042.513256323
6261,1042.513256323
6560,1042.513256323
6554,1042.513256323
5543,2523.364966302
6645,2523.364966302
6693,2523.364966302
5600,2523.364966302
6673,2523.364966302
6697,2523.364966302
6313,2523.364966302
6836,498.689180037
6764,498.689180037
6857,498.689180037
6571,498.689180037
6845,498.689180037
6900,1101.621812431
7094,1101.621812431
7077,1101.621812431
7086,1101.621812431
6865,1101.621812431
6926,1101.621812431
7074,1101.621812431
7097,1101.621812431
6777,1101.621812431
7080,1101.621812431
7084,1101.621812431
7079,1101.621812431
6831,1101.621812431
7096,1101.621812431
6877,1101.621812431
6780,1101.621812431
7116,1101.6218
6863,1101.6218
7071,1101.6218
7144,1101.6218
6909,1101.6218
7132,1101.6218
7133,1101.6218
6886,1101.6218
6859,1101.6218
6884,1101.6218
6910,1101.6218
7091,1101.6218
7131,1101.6218
